trade_id,entry_idx,exit_idx,side,entry,exit,exit_reason,pnl,r_multiple,equity_after,prob
67,75791,75803,SHORT,67214.7652953125,67665.9921875,TIME_DECAY_SL,-44.84868928449819,-0.7333216131901914,8851.709277264546,0.7067444912438838
68,75813,75821,SHORT,67851.74724843749,67690.59934872245,SL,7.687405148812233,0.13636363636363744,8859.396682413359,0.6673380603097775
69,75867,75888,SHORT,66524.75488749999,66137.66396999835,DECAY_TP,26.370379067730358,0.46590909090909094,8885.767061481089,0.6689747235319894
70,75895,75907,SHORT,66807.0031140625,67094.03125,TIME_DECAY_SL,-37.83081625889635,-0.5020457380634351,8847.936245222192,0.8131721765443449
71,75913,75916,SHORT,67260.68579687501,67899.66231194533,SL,-52.88224058650649,-1.0,8795.054004635685,0.6332969816558492
72,75922,75945,SHORT,69038.830096875,68831.90826765136,DECAY_TP,11.178422440504168,0.15822122676722436,8806.23242707619,0.7818890711721821
73,75951,75975,SHORT,68892.2266109375,68829.203125,TIMEOUT,-0.18550650431839344,-0.0033672028211211248,8806.046920571871,0.6579284299469956
74,75986,75998,SHORT,69553.133465625,70194.0,TIME_DECAY_SL,-80.22729091167632,-0.9726370308706476,8725.819629660195,0.8645944180807998
75,76004,76028,SHORT,69699.28391718751,69840.140625,TIMEOUT,-24.611030701785058,-0.2842986070979318,8701.20859895841,0.8949551291755311
76,76100,76118,SHORT,69497.1993421875,68803.96477874917,DECAY_TP,53.62307162828194,0.8636363636363645,8754.831670586693,0.7256966025142787
77,76132,76154,SHORT,68725.28344375,68445.9915279772,DECAY_TP,17.2231227302617,0.2979797979798084,8772.054793316955,0.6860328036594139
78,76160,76179,SHORT,68626.272,68886.0078125,TIME_DECAY_SL,-34.54077379737296,-0.45308965165179516,8737.514019519582,0.8257314787917267
79,76193,76196,SHORT,69491.10681093749,69326.06543226152,SL,12.004695929386344,0.1363636363636324,8749.518715448969,0.9032197948810718
80,76228,76240,SHORT,68562.487884375,68880.59375,TIME_DECAY_SL,-41.77975663394194,-0.5348946233874722,8707.738958815027,0.8395806439268315
81,76248,76260,SHORT,69110.90161718751,68191.72662567892,DECAY_TP,103.98209585818958,1.1818181818181823,8811.721054673217,0.9047477316400305
82,76266,76284,SHORT,68436.3021890625,67753.6500747266,DECAY_TP,47.46683050981303,0.863636363636362,8859.18788518303,0.656339151663183
83,76303,76305,SHORT,67378.5840875,68064.63602841797,SL,-52.63792379846171,-1.0,8806.549961384568,0.6279793968221905
84,76311,76313,SHORT,67230.76990625,68045.02430078125,SL,-69.27844851080269,-1.0,8737.271512873765,0.7709582613490942
85,76319,76339,SHORT,67779.7616484375,67190.31608501519,DECAY_TP,37.26393388474629,0.6385590777224797,8774.535446758511,0.688151972655479
86,76347,76359,SHORT,67321.57205468751,67801.65625,TIME_DECAY_SL,-57.760688519036556,-0.7733214279895436,8716.774758239475,0.8151049995076032
87,76365,76368,SHORT,67737.5982078125,68381.10539078672,SL,-71.90469240125783,-1.0,8644.870065838217,0.799067799643372
88,76374,76379,SHORT,68262.34479999999,67613.85252439999,SL,59.02168169134309,0.8181818181818186,8703.89174752956,0.8049357820793797
89,76398,76399,SHORT,68095.97183125,67449.06009885312,SL,61.28782477715029,0.81818181818182,8765.17957230671,0.8207238399981461
90,76405,76412,SHORT,67128.18886406251,66463.26985771485,SL,43.317629800095816,0.8249688875821248,8808.497202106806,0.6333195001078641
91,76426,76438,SHORT,66386.72,66866.6171875,TIME_DECAY_SL,-41.278346250585244,-0.7826615353335215,8767.218855856221,0.6342831009458807
92,76446,76458,SHORT,66896.61799999999,67150.1171875,TIME_DECAY_SL,-37.08540644550571,-0.4535327358674425,8730.133449410716,0.8623553151464919
93,76465,76483,SHORT,66901.05461250001,66233.71659274033,DECAY_TP,47.40399196441379,0.863636363636357,8777.53744137513,0.6605639854711496
94,76498,76507,SHORT,66402.8183421875,67091.28599355469,SL,-52.036038443573155,-1.0,8725.501402931557,0.6262132191983998
95,76513,76527,SHORT,66926.60418906249,67191.71875,TIME_DECAY_SL,-25.023147037433183,-0.4699782929279594,8700.478255894124,0.6445992952558828
96,76553,76565,SHORT,67707.48704375,68135.421875,TIME_DECAY_SL,-42.31597018505191,-0.6957270119842371,8658.162285709072,0.7152823151041459
97,76589,76601,SHORT,67440.22019531249,67791.65625,TIME_DECAY_SL,-26.495665481974193,-0.44784756875077586,8631.666620227097,0.6973195361984981
98,76624,76648,SHORT,68003.75590312501,67873.2578125,TIMEOUT,4.705773626121948,0.09272570096904822,8636.372393853218,0.6241742770271259
99,76776,76799,SHORT,67636.7902484375,67467.6982728164,DECAY_TP,7.836666941567468,0.14832535885167253,8644.209060794787,0.6459789010578114
100,77859,77872,SHORT,68812.2972875,68106.00712636719,SL,46.29541255273666,0.8305690945612079,8690.504473347522,0.6717980625297642
101,77937,77961,SHORT,67952.37555624999,67782.49461735936,DECAY_TP,8.174849258684539,0.14832535885167097,8698.679322606207,0.6651207263574785
102,78035,78043,SHORT,67865.71320468749,66963.09921906515,TP,70.06232394107572,1.1818181818181823,8768.741646547283,0.7023368918460544
103,78130,78142,SHORT,67967.43504375001,68462.15625,TIME_DECAY_SL,-47.81930960766557,-0.7726040938333131,8720.922336939619,0.7196938709970766
104,79109,79121,SHORT,70389.01313124999,70927.8515625,TIME_DECAY_SL,-44.98223462029084,-0.8234592993893973,8675.940102319328,0.658583115927535
105,79135,79155,SHORT,70838.29825625001,70314.88194135661,DECAY_TP,33.17857170021175,0.6161616161616142,8709.118674019539,0.653703350805823
106,79201,79216,SHORT,70580.3811,70757.0078125,TIME_DECAY_SL,-17.792853324022744,-0.33038183797812387,8691.325820695516,0.6517484114240888
107,79911,79932,SHORT,66986.45159218751,66596.67417698547,DECAY_TP,25.314778988417473,0.46590909090909294,8716.640599683933,0.657546657148216
108,80004,80016,SHORT,66412.667934375,66254.93784803085,SL,7.258796404038208,0.13636363636364737,8723.89939608797,0.645025787336192
109,80458,80470,SHORT,66708.81181875,66907.046875,TIME_DECAY_SL,-21.12527025569005,-0.37527724745259833,8702.77412583228,0.6741773809790168
110,80518,80530,SHORT,66818.8132515625,67002.921875,TIME_DECAY_SL,-21.91600636137246,-0.3545780971720911,8680.858119470908,0.7233061791476799
111,80547,80562,SHORT,67156.7768953125,67383.15625,TIME_DECAY_SL,-24.15381706663082,-0.4134840735666618,8656.704302404278,0.6958402690302753
112,80573,80597,SHORT,67312.5348,67300.421875,TIMEOUT,-4.010512334972172,-0.07368894636408421,8652.693790069306,0.6605418643644516
113,80609,80632,SHORT,67122.53374531251,66954.72741094923,DECAY_TP,7.675582341057102,0.14832535885167453,8660.369372410363,0.6336476694599232
114,80638,80659,SHORT,67021.74140781249,67499.9921875,TIME_DECAY_SL,-39.34831216023213,-0.7737565354719781,8621.02106025013,0.623462283842723
115,80680,80689,SHORT,67465.54325468751,68106.46591560704,SL,-54.885481335325736,-1.0,8566.135578914804,0.6671505945178169
116,81952,81965,LONG,74696.12373749999,74355.359375,TIME_DECAY_SL,-37.7596690166097,-0.5274649424403048,8528.375909898194,0.8056948611976806
117,81972,81974,LONG,74796.2453203125,74973.88640294825,SL,9.670966055230902,0.13636363636364113,8538.046875953425,0.803176851946059
118,81980,81998,LONG,74850.4749140625,75028.24479198341,SL,9.750269379209636,0.13636363636364107,8547.797145332635,0.8067637477232317
119,82004,82018,LONG,75344.8550203125,76319.10585397793,DECAY_TP,74.54864753292463,1.1464646464646393,8622.34579286556,0.7580299158448851
120,82092,82100,LONG,75845.11911562501,76025.25127352463,SL,7.206199131215729,0.13636363636364146,8629.551991996777,0.6469676751808717
121,82626,82637,LONG,79199.83679999999,78447.43835039999,SL,-52.420105486015885,-1.0,8577.131886510762,0.6421527280630859
122,82650,82673,LONG,77647.62016875,77841.73921917187,DECAY_TP,7.441627986844489,0.1483253588516658,8584.573514497606,0.6212905724802189
123,83302,83314,LONG,80134.63309687501,79856.9609375,TIME_DECAY_SL,-26.610091737495452,-0.42249479209603275,8557.963422760111,0.7397478746941708
124,83326,83342,LONG,78524.02197656251,79452.3504141521,DECAY_TP,52.353036221402995,1.0404040404040407,8610.316458981513,0.6242171117143911
125,83536,83552,LONG,81543.04753593751,81249.296875,TIME_DECAY_SL,-22.394617929753245,-0.4356363477866318,8587.92184105176,0.6327041014696069
126,83693,83712,LONG,79619.70200625001,80318.30959989512,DECAY_TP,43.927551329815316,0.7487373737373586,8631.849392381577,0.7035579441496145
127,83719,83732,LONG,80241.341934375,79965.7578125,TIME_DECAY_SL,-22.364222407234937,-0.4195636929893435,8609.485169974341,0.6510060090708555
128,83764,83787,LONG,80209.2183234375,80409.7413692461,DECAY_TP,8.10675914886749,0.1483253588516829,8617.59192912321,0.6656473170424597
129,83906,83927,LONG,80809.08827343749,81279.29615582855,DECAY_TP,25.823290662638904,0.46590909090907817,8643.415219785848,0.6724795298789614
130,83937,83943,LONG,81376.272,80603.197416,SL,-56.49851198339651,-1.0,8586.916707802451,0.680886619118936
131,83950,83954,LONG,81520.01167968751,81713.62170742676,SL,7.468375588478222,0.13636363636363216,8594.38508339093,0.6681058144457717
132,83960,83965,LONG,81510.07219218751,80735.72650636172,SL,-67.93771908868239,-1.0,8526.447364302247,0.7774400346008286
133,83971,83994,LONG,80768.947434375,80970.86980296094,DECAY_TP,8.438870714515552,0.1483253588516674,8534.886235016762,0.6915122933830307
134,84001,84013,LONG,81213.192515625,81011.28125,TIME_DECAY_SL,-20.374655262716683,-0.32882181930234955,8514.511579754046,0.7344239599914482
135,84047,84055,LONG,81641.48128124999,80865.88720907811,SL,-54.379440273539544,-1.0,8460.132139480505,0.6688107605923735
136,84075,84087,LONG,81233.5325203125,80925.25,TIME_DECAY_SL,-30.22804631537433,-0.4540684751172315,8429.90409316513,0.7751267068771955
137,84093,84110,LONG,80682.5160890625,80222.0,TIME_DECAY_SL,-54.519730162929626,-0.637105806198591,8375.3843630022,0.9072407056626637
138,84134,84156,LONG,80716.13218593749,81044.153578682,DECAY_TP,15.266244149180228,0.2979797979797919,8390.65060715138,0.6459243308646201
139,84162,84174,LONG,81183.13963125,80920.0,TIME_DECAY_SL,-26.185220436156456,-0.4010821893050627,8364.465386715223,0.7694369168340752
140,84180,84192,LONG,81172.4187375,80501.21875,TIME_DECAY_SL,-72.71568201137508,-0.8821835764373277,8291.749704703847,0.8913774114537856
141,85901,85913,SHORT,73503.28858906249,73682.28125,TIME_DECAY_SL,-16.012984134212807,-0.3239392672322358,8275.736720569634,0.6318938588667773
142,85921,85944,SHORT,73897.2097890625,73712.46676458984,DECAY_TP,9.993160898987078,0.1483253588516737,8285.72988146862,0.7923692948006731
143,87524,87547,SHORT,63255.018340625,63096.88079477344,DECAY_TP,7.18008458393946,0.14832535885167253,8292.909966052559,0.620604925657828
144,89332,89344,SHORT,62100.59692734375,62257.55859375,TIME_DECAY_SL,-20.71136314024026,-0.3327788297147586,8272.198602912318,0.7511927180761729
145,89359,89379,SHORT,62247.23946796876,62453.73828125,TIME_DECAY_SL,-21.563731910257612,-0.408363361291701,8250.634871002061,0.6685470184640637
146,90741,90753,SHORT,64743.88847578125,65054.109375,TIME_DECAY_SL,-26.698374673465743,-0.5494266614541451,8223.936496328595,0.6251437409585681
147,91718,91736,SHORT,63412.365771093755,62779.827422527094,DECAY_TP,57.24476850037351,0.8636363636363606,8281.181264828969,0.7872771731362526
148,91743,91765,SHORT,62780.613240624996,62525.47980403879,DECAY_TP,15.397016053989688,0.2979797979797965,8296.578280882959,0.65653338303136
149,91773,91776,SHORT,63338.419625781244,63940.13461222617,SL,-66.20543253390991,-1.0,8230.372848349049,0.7822206220557535
150,91811,91823,SHORT,63559.2856,63902.01953125,TIME_DECAY_SL,-37.59402999401163,-0.6069234713912826,8192.778818355036,0.7526108056757068
151,91840,91859,SHORT,63693.258799999996,63876.58984375,TIME_DECAY_SL,-19.333139516607957,-0.36634860963944044,8173.445678838429,0.6732624033378676
152,92359,92381,LONG,65208.750079687496,65473.75119459467,DECAY_TP,16.787823358440136,0.29797979797979424,8190.233502196868,0.7081158689553186
